battery_capacity,charge_finish_time,charge_start_time,charger_id,charging_time_min,current_energy,distance_km,edge_id,event,is_best_charging,is_best_distance,is_best_total_time,is_best_waiting,queue_length,queue_length_at_selection,required_energy,route_coords,route_edges,soc,soc_at_arrival,soc_now,station_edge,station_id,station_lat,station_lon,station_x,station_y,status,target_soc,time,total_time_min,travel_time_min,vehicle_id,vehicle_lat,vehicle_lon,vehicle_x,vehicle_y,waiting_time_min
,,,CS_1_CH_1,23.8,,0.511,,station_option_calculated,False,True,False,True,,,17.85,"[[40.981377, 28.713602], [40.981391, 28.713544], [40.981352, 28.713711], [40.981319, 28.713877], [40.981346, 28.713887], [40.981379, 28.713722], [40.981418, 28.713556], [40.981489, 28.713504], [40.981557, 28.713518], [40.981636, 28.713497], [40.982162, 28.713356], [40.982408, 28.71329], [40.982537, 28.71326], [40.982899, 28.713191], [40.982924, 28.713186], [40.983055, 28.713156], [40.983405, 28.713057], [40.983557, 28.713012], [40.983841, 28.712925], [40.983972, 28.712887], [40.984147, 28.712838], [40.984209, 28.71272], [40.984055, 28.711372], [40.984043, 28.711274], [40.984043, 28.711271], [40.984043, 28.711271]]","[""227740184#0"", ""-227740184#0"", ""97333037#0"", ""97333037#1"", ""97333037#2"", ""97333037#3"", ""97333037#4"", ""97388510#0"", ""97388510#1""]",,29.01,29.74,,CS_1,40.984043,28.711271,,,,,0.85,24.59,0.79,25,40.981377,28.713602,,,0.0
,,,CS_2_CH_1,11.99,,0.78,,station_option_calculated,False,False,False,False,,,17.98,"[[40.981377, 28.713602], [40.981391, 28.713544], [40.981352, 28.713711], [40.981319, 28.713877], [40.981288, 28.714047], [40.981265, 28.714192], [40.981243, 28.71436], [40.981241, 28.71438], [40.981234, 28.71445], [40.981216, 28.71462], [40.981204, 28.714737], [40.981185, 28.714907], [40.981182, 28.714938], [40.98116, 28.715105], [40.981145, 28.715214], [40.981118, 28.715382], [40.981058, 28.715705], [40.981027, 28.715871], [40.980939, 28.716354], [40.980908, 28.716526], [40.9809, 28.716567], [40.980889, 28.716628], [40.980858, 28.716793], [40.980774, 28.717227], [40.980741, 28.717395], [40.980621, 28.71801], [40.980588, 28.718176], [40.98056, 28.71831], [40.980534, 28.718441], [40.98035, 28.719402], [40.980326, 28.719532], [40.980244, 28.719961], [40.980302, 28.720088], [40.980663, 28.720211], [40.980791, 28.720251], [40.981156, 28.720361], [40.981256, 28.720392], [40.981868, 28.720587], [40.981994, 28.720627], [40.982144, 28.720675], [40.982144, 28.720675]]","[""227740184#0"", ""227740184#1"", ""227740184#2"", ""1349665964#0"", ""1349665964#1"", ""1349665964#2"", ""681288377"", ""1153486212#0"", ""1153486212#1"", ""1153486212#2"", ""1153486212#3"", ""1153486212#4"", ""1153486212#5"", ""680744217#0"", ""-1356693268#1"", ""-1356693268#0"", ""-97226043#1"", ""-97226043#0""]",,28.63,29.74,,CS_2,40.982144,28.720675,,,,,0.85,13.0,1.01,25,40.981377,28.713602,,,0.0
,,,CS_3_CH_1,8.32,,2.252,,station_option_calculated,True,False,True,False,,,18.72,"[[40.981377, 28.713602], [40.981391, 28.713544], [40.981352, 28.713711], [40.981319, 28.713877], [40.981377, 28.714004], [40.981567, 28.71406], [40.981687, 28.714066], [40.98246, 28.713883], [40.982516, 28.713939], [40.982546, 28.714296], [40.98256, 28.714466], [40.982582, 28.714766], [40.982671, 28.714857], [40.982731, 28.714844], [40.982788, 28.714899], [40.982799, 28.715027], [40.982815, 28.7152], [40.982842, 28.715481], [40.982854, 28.71561], [40.982879, 28.71589], [40.982895, 28.716063], [40.982917, 28.716293], [40.982926, 28.716468], [40.982928, 28.716618], [40.98293, 28.71679], [40.982933, 28.716992], [40.982924, 28.717099], [40.98289, 28.717263], [40.982856, 28.717428], [40.982773, 28.717831], [40.982739, 28.717998], [40.982662, 28.718376], [40.982628, 28.718542], [40.982553, 28.718907], [40.982527, 28.719036], [40.982322, 28.720039], [40.982297, 28.720165], [40.982213, 28.720589], [40.982181, 28.720755], [40.982098, 28.721168], [40.982064, 28.721334], [40.981868, 28.722259], [40.981851, 28.72234], [40.98165, 28.723324], [40.981618, 28.723491], [40.981553, 28.723848], [40.981523, 28.724014], [40.981453, 28.724398], [40.98149, 28.724478], [40.982365, 28.724751], [40.982427, 28.724705], [40.982628, 28.723778], [40.982662, 28.723619], [40.982728, 28.723294], [40.982785, 28.723015], [40.982891, 28.722755], [40.982892, 28.722753], [40.982948, 28.72271], [40.982968, 28.722699], [40.983033, 28.722685], [40.983145, 28.722699], [40.983232, 28.722722], [40.983283, 28.722737], [40.983687, 28.722728], [40.983762, 28.722704], [40.983961, 28.722609], [40.984094, 28.72253], [40.984472, 28.722303], [40.98468, 28.72219], [40.984847, 28.722131], [40.984899, 28.722126], [40.98514, 28.722158], [40.985179, 28.72217], [40.985278, 28.722218], [40.985281, 28.72222], [40.986052, 28.722575], [40.9861, 28.72266], [40.986134, 28.722695], [40.986176, 28.722756], [40.986237, 28.722847], [40.986286, 28.722959], [40.986305, 28.723086], [40.986298, 28.723218], [40.986275, 28.72331], [40.986226, 28.723417], [40.98617, 28.723492], [40.986115, 28.723548], [40.986038, 28.723592], [40.985963, 28.723603], [40.985889, 28.723601], [40.985825, 28.723576], [40.985761, 28.723539], [40.985706, 28.72349], [40.985647, 28.7234], [40.9856, 28.723273], [40.985586, 28.723216], [40.985584, 28.723186], [40.985585, 28.723121], [40.985588, 28.723075], [40.985599, 28.722989], [40.985585, 28.722861], [40.986069, 28.722027], [40.986137, 28.722016], [40.986177, 28.72197], [40.986261, 28.721808], [40.986313, 28.72171], [40.986374, 28.721647], [40.98643, 28.721616], [40.986498, 28.721604], [40.986569, 28.721608], [40.986624, 28.721626], [40.986679, 28.721658], [40.986728, 28.721697], [40.986787, 28.72178], [40.98682, 28.721875], [40.986839, 28.721964], [40.986844, 28.722058], [40.986832, 28.722153], [40.986806, 28.722237], [40.986771, 28.722317], [40.986726, 28.722387], [40.986667, 28.722444], [40.986604, 28.722481], [40.986536, 28.722498], [40.98647, 28.722508], [40.986413, 28.722509], [40.98632, 28.722496], [40.98628, 28.722493], [40.986282, 28.72249], [40.98628, 28.72249], [40.98628, 28.72249]]","[""227740184#0"", ""97388530#0"", ""97388530#1"", ""-97388545#1"", ""-97388545#0"", ""97388537#1"", ""681288376#0"", ""681288376#1"", ""681288376#2"", ""681288376#3"", ""681288375#0"", ""681288375#1"", ""1355950335"", ""97226073#0"", ""97226073#1"", ""97226073#2"", ""97226073#3"", ""97226073#4"", ""97226073#5"", ""97226073#6"", ""97226073#7"", ""97226073#8"", ""97226073#9"", ""1496077183#4"", ""227740183#1"", ""1063692538"", ""1175311852#0"", ""1175311852#1"", ""1175311852#2"", ""96274304"", ""877479633"", ""174851548"", ""174851564#0"", ""174851564#1"", ""945425992"", ""174851559#0"", ""174851559#1""]",,26.52,29.74,,CS_3,40.98628,28.72249,,,,,0.85,10.92,2.6,25,40.981377,28.713602,,,0.0
35.0,11.77,3.45,CS_3_CH_1,8.32,10.41,2.252,,station_selected,,,,,1,1,18.72,,,,26.52,29.74,174851559#1,CS_3,40.98628,28.72249,2009.01,944.95,going_to_charge,80.0,0.85,10.92,2.6,25,40.981377,28.713602,1272.06,385.94,0.0
,,,CS_1_CH_1,24.36,,1.531,,station_option_calculated,False,False,False,True,,,18.27,"[[40.982605, 28.718654], [40.982628, 28.718542], [40.982553, 28.718907], [40.982527, 28.719036], [40.982322, 28.720039], [40.982297, 28.720165], [40.982213, 28.720589], [40.982181, 28.720755], [40.982098, 28.721168], [40.982032, 28.721234], [40.981148, 28.720921], [40.981051, 28.720887], [40.980204, 28.720587], [40.980172, 28.720487], [40.980241, 28.720136], [40.980272, 28.71997], [40.980354, 28.719541], [40.980378, 28.719411], [40.980562, 28.71845], [40.980588, 28.71832], [40.980616, 28.718186], [40.980649, 28.718019], [40.980769, 28.717405], [40.980801, 28.717237], [40.980886, 28.716803], [40.980917, 28.716637], [40.980928, 28.716576], [40.980936, 28.716535], [40.980967, 28.716363], [40.981055, 28.71588], [40.981086, 28.715714], [40.981146, 28.715391], [40.981173, 28.71522], [40.981188, 28.715112], [40.981248, 28.715056], [40.981463, 28.715093], [40.981551, 28.714992], [40.981569, 28.71467], [40.981637, 28.714585], [40.982504, 28.714409], [40.982575, 28.714291], [40.982545, 28.713935], [40.98253, 28.713764], [40.982493, 28.71334], [40.982537, 28.71326], [40.982899, 28.713191], [40.982924, 28.713186], [40.983055, 28.713156], [40.983405, 28.713057], [40.983557, 28.713012], [40.983841, 28.712925], [40.983972, 28.712887], [40.984147, 28.712838], [40.984209, 28.71272], [40.984055, 28.711372], [40.984043, 28.711274], [40.984043, 28.711271], [40.984043, 28.711271]]","[""97226073#2"", ""97226073#3"", ""97226073#4"", ""97226073#5"", ""97226075#1"", ""97226075#2"", ""-680744217#1"", ""-680744217#0"", ""-1153486212#5"", ""-1153486212#4"", ""-1153486212#3"", ""-1153486212#2"", ""-1153486212#1"", ""-1153486212#0"", ""-681288377"", ""-1349665964#2"", ""1349665966"", ""-97388555#1"", ""-97388512#0"", ""97388545#1"", ""97388545#2"", ""97333037#1"", ""97333037#2"", ""97333037#3"", ""97333037#4"", ""97388510#0"", ""97388510#1""]",,27.8,29.99,,CS_1,40.984043,28.711271,,,,,1.48,25.82,1.46,16,40.982605,28.718654,,,0.0
,,,CS_2_CH_1,11.75,,0.238,,station_option_calculated,False,True,True,False,,,17.62,"[[40.982605, 28.718654], [40.982628, 28.718542], [40.982553, 28.718907], [40.982527, 28.719036], [40.982322, 28.720039], [40.982261, 28.720086], [40.98208, 28.72003], [40.982018, 28.720048], [40.981936, 28.720501], [40.981994, 28.720627], [40.982144, 28.720675], [40.982144, 28.720675]]","[""97226073#2"", ""97226073#3"", ""97226042#0"", ""97326354"", ""-97226043#0""]",,29.65,29.99,,CS_2,40.982144,28.720675,,,,,1.48,12.02,0.27,16,40.982605,28.718654,,,0.0
,,,CS_3_CH_1,8.15,,1.665,,station_option_calculated,True,False,False,False,,,18.34,"[[40.982605, 28.718654], [40.982628, 28.718542], [40.982553, 28.718907], [40.982527, 28.719036], [40.982322, 28.720039], [40.982297, 28.720165], [40.982213, 28.720589], [40.982181, 28.720755], [40.982098, 28.721168], [40.982064, 28.721334], [40.981868, 28.722259], [40.981851, 28.72234], [40.98165, 28.723324], [40.981618, 28.723491], [40.981553, 28.723848], [40.981523, 28.724014], [40.981453, 28.724398], [40.98149, 28.724478], [40.982365, 28.724751], [40.982427, 28.724705], [40.982628, 28.723778], [40.982662, 28.723619], [40.982728, 28.723294], [40.982785, 28.723015], [40.982891, 28.722755], [40.982892, 28.722753], [40.982948, 28.72271], [40.982968, 28.722699], [40.983033, 28.722685], [40.983145, 28.722699], [40.983232, 28.722722], [40.983283, 28.722737], [40.983687, 28.722728], [40.983762, 28.722704], [40.983961, 28.722609], [40.984094, 28.72253], [40.984472, 28.722303], [40.98468, 28.72219], [40.984847, 28.722131], [40.984899, 28.722126], [40.98514, 28.722158], [40.985179, 28.72217], [40.985278, 28.722218], [40.985281, 28.72222], [40.986052, 28.722575], [40.9861, 28.72266], [40.986134, 28.722695], [40.986176, 28.722756], [40.986237, 28.722847], [40.986286, 28.722959], [40.986305, 28.723086], [40.986298, 28.723218], [40.986275, 28.72331], [40.986226, 28.723417], [40.98617, 28.723492], [40.986115, 28.723548], [40.986038, 28.723592], [40.985963, 28.723603], [40.985889, 28.723601], [40.985825, 28.723576], [40.985761, 28.723539], [40.985706, 28.72349], [40.985647, 28.7234], [40.9856, 28.723273], [40.985586, 28.723216], [40.985584, 28.723186], [40.985585, 28.723121], [40.985588, 28.723075], [40.985599, 28.722989], [40.985585, 28.722861], [40.986069, 28.722027], [40.986137, 28.722016], [40.986177, 28.72197], [40.986261, 28.721808], [40.986313, 28.72171], [40.986374, 28.721647], [40.98643, 28.721616], [40.986498, 28.721604], [40.986569, 28.721608], [40.986624, 28.721626], [40.986679, 28.721658], [40.986728, 28.721697], [40.986787, 28.72178], [40.98682, 28.721875], [40.986839, 28.721964], [40.986844, 28.722058], [40.986832, 28.722153], [40.986806, 28.722237], [40.986771, 28.722317], [40.986726, 28.722387], [40.986667, 28.722444], [40.986604, 28.722481], [40.986536, 28.722498], [40.98647, 28.722508], [40.986413, 28.722509], [40.98632, 28.722496], [40.98628, 28.722493], [40.986282, 28.72249], [40.98628, 28.72249], [40.98628, 28.72249]]","[""97226073#2"", ""97226073#3"", ""97226073#4"", ""97226073#5"", ""97226073#6"", ""97226073#7"", ""97226073#8"", ""97226073#9"", ""1496077183#4"", ""227740183#1"", ""1063692538"", ""1175311852#0"", ""1175311852#1"", ""1175311852#2"", ""96274304"", ""877479633"", ""174851548"", ""174851564#0"", ""174851564#1"", ""945425992"", ""174851559#0"", ""174851559#1""]",,27.61,29.99,,CS_3,40.98628,28.72249,,,,,1.48,18.44,1.85,16,40.982605,28.718654,,,8.44
35.0,13.5,1.75,CS_2_CH_1,11.75,10.5,0.238,,station_selected,,,,,1,1,17.62,,,,29.65,29.99,-97226043#0,CS_2,40.982144,28.720675,1865.38,482.81,going_to_charge,80.0,1.48,12.02,0.27,16,40.982605,28.718654,1694.4,530.62,0.0
,,,,,,,-97226043#0,arrived_at_station,,,,,,,,,,29.73,,,,CS_2,,,,,,,1.85,,,16,,,,,
,,,CS_1_CH_1,24.76,,1.492,,station_option_calculated,False,False,False,True,,,18.57,"[[40.983225, 28.722433], [40.98324, 28.722465], [40.983218, 28.722449], [40.983124, 28.722357], [40.983116, 28.722346], [40.983083, 28.722294], [40.983052, 28.722232], [40.983037, 28.72215], [40.983025, 28.722085], [40.983018, 28.722], [40.983008, 28.72173], [40.983017, 28.721662], [40.98297, 28.721565], [40.98213, 28.721268], [40.982032, 28.721234], [40.981148, 28.720921], [40.981051, 28.720887], [40.980204, 28.720587], [40.980172, 28.720487], [40.980241, 28.720136], [40.980272, 28.71997], [40.980354, 28.719541], [40.980378, 28.719411], [40.980562, 28.71845], [40.980588, 28.71832], [40.980616, 28.718186], [40.980649, 28.718019], [40.980769, 28.717405], [40.980801, 28.717237], [40.980886, 28.716803], [40.980917, 28.716637], [40.980928, 28.716576], [40.980936, 28.716535], [40.980967, 28.716363], [40.981055, 28.71588], [40.981086, 28.715714], [40.981146, 28.715391], [40.981173, 28.71522], [40.981188, 28.715112], [40.981248, 28.715056], [40.981463, 28.715093], [40.981551, 28.714992], [40.981569, 28.71467], [40.981637, 28.714585], [40.982504, 28.714409], [40.982575, 28.714291], [40.982545, 28.713935], [40.98253, 28.713764], [40.982493, 28.71334], [40.982537, 28.71326], [40.982899, 28.713191], [40.982924, 28.713186], [40.983055, 28.713156], [40.983405, 28.713057], [40.983557, 28.713012], [40.983841, 28.712925], [40.983972, 28.712887], [40.984147, 28.712838], [40.984209, 28.71272], [40.984055, 28.711372], [40.984043, 28.711274], [40.984043, 28.711271], [40.984043, 28.711271]]","[""1175296286#0"", ""1175296286#1"", ""1175296286#2"", ""1063692537"", ""97226075#0"", ""97226075#1"", ""97226075#2"", ""-680744217#1"", ""-680744217#0"", ""-1153486212#5"", ""-1153486212#4"", ""-1153486212#3"", ""-1153486212#2"", ""-1153486212#1"", ""-1153486212#0"", ""-681288377"", ""-1349665964#2"", ""1349665966"", ""-97388555#1"", ""-97388512#0"", ""97388545#1"", ""97388545#2"", ""97333037#1"", ""97333037#2"", ""97333037#3"", ""97333037#4"", ""97388510#0"", ""97388510#1""]",,26.94,29.07,,CS_1,40.984043,28.711271,,,,,2.35,26.28,1.52,70,40.983225,28.722433,,,0.0
